hpnum,mdc2,value
1,01,22
1,02,11
1,03,0
1,04,686
1,05,69
1,06,1095
1,07,55
1,08,142
1,09,134
1,10,163
1,11,114
1,12,0
1,13,92
1,14,0
1,15,0
1,16,48
1,17,0
1,18,82
2,01,406
2,02,0
2,03,120
2,04,0
2,05,0
2,06,0
2,07,0
2,08,0
2,09,0
2,10,23
2,11,0
2,12,0
2,13,0
2,14,0
2,15,0
2,16,126
2,17,0
2,18,0
3,01,97
3,02,0
3,03,22
3,04,187
3,05,41
3,06,59
3,07,10
3,08,11
3,09,0
3,10,31
3,11,37
3,12,0
3,13,20
3,14,0
3,15,0
3,16,39
3,17,0
3,18,0
4,01,47
4,02,0
4,03,17
4,04,217
4,05,571
4,06,518
4,07,11
4,08,19
4,09,12
4,10,17
4,11,64
4,12,0
4,13,23
4,14,0
4,15,0
4,16,49
4,17,0
4,18,11
5,01,57
5,02,0
5,03,18
5,04,224
5,05,73
5,06,489
5,07,31
5,08,11
5,09,0
5,10,35
5,11,83
5,12,0
5,13,14
5,14,0
5,15,0
5,16,129
5,17,0
5,18,0
6,01,22
6,02,0
6,03,13
6,04,572
6,05,43
6,06,61
6,07,52
6,08,13
6,09,0
6,10,108
6,11,249
6,12,0
6,13,172
6,14,0
6,15,0
6,16,40
6,17,0
6,18,20
7,01,0
7,02,0
7,03,0
7,04,238
7,05,0
7,06,54
7,07,0
7,08,0
7,09,0
7,10,69
7,11,15
7,12,0
7,13,0
7,14,0
7,15,41
7,16,0
7,17,0
7,18,0
8,01,66
8,02,0
8,03,37
8,04,174
8,05,71
8,06,384
8,07,70
8,08,21
8,09,0
8,10,43
8,11,79
8,12,14
8,13,23
8,14,17
8,15,0
8,16,148
8,17,0
8,18,42
9,01,38
9,02,105
9,03,58
9,04,225
9,05,66
9,06,440
9,07,28
9,08,23
9,09,23
9,10,45
9,11,55
9,12,12
9,13,23
9,14,0
9,15,0
9,16,181
9,17,0
9,18,0
10,01,10
10,02,0
10,03,12
10,04,172
10,05,27
10,06,126
10,07,35
10,08,16
10,09,0
10,10,55
10,11,32
10,12,0
10,13,11
10,14,0
10,15,0
10,16,48
10,17,0
10,18,17
11,01,0
11,02,0
11,03,27
11,04,73
11,05,33
11,06,41
11,07,0
11,08,0
11,09,0
11,10,29
11,11,601
11,12,0
11,13,0
11,14,0
11,15,0
11,16,17
11,17,0
11,18,191
12,01,14
12,02,28
12,03,30
12,04,245
12,05,34
12,06,541
12,07,113
12,08,22
12,09,0
12,10,62
12,11,57
12,12,0
12,13,14
12,14,0
12,15,0
12,16,220
12,17,0
12,18,13
13,01,82
13,02,66
13,03,59
13,04,247
13,05,38
13,06,242
13,07,21
13,08,0
13,09,0
13,10,39
13,11,174
13,12,0
13,13,19
13,14,0
13,15,0
13,16,82
13,17,0
13,18,0
14,01,36
14,02,0
14,03,0
14,04,66
14,05,10
14,06,29
14,07,0
14,08,0
14,09,0
14,10,13
14,11,31
14,12,0
14,13,0
14,14,0
14,15,0
14,16,13
14,17,0
14,18,0
15,01,37
15,02,242
15,03,0
15,04,88
15,05,40
15,06,131
15,07,17
15,08,11
15,09,0
15,10,38
15,11,70
15,12,58
15,13,14
15,14,0
15,15,0
15,16,28
15,17,0
15,18,0
16,01,189
16,02,0
16,03,53
16,04,50
16,05,0
16,06,10
16,07,0
16,08,0
16,09,0
16,10,15
16,11,22
16,12,0
16,13,0
16,14,0
16,15,0
16,16,57
16,17,0
16,18,0
17,01,0
17,02,95
17,03,0
17,04,92
17,05,0
17,06,416
17,07,25
17,08,39
17,09,71
17,10,56
17,11,36
17,12,0
17,13,11
17,14,0
17,15,0
17,16,137
17,17,0
17,18,0
18,01,11
18,02,0
18,03,38
18,04,80
18,05,33
18,06,146
18,07,42
18,08,0
18,09,0
18,10,21
18,11,11
18,12,0
18,13,0
18,14,0
18,15,0
18,16,142
18,17,0
18,18,0
19,01,0
19,02,0
19,03,0
19,04,0
19,05,0
19,06,0
19,07,0
19,08,0
19,09,0
19,10,0
19,11,0
19,12,0
19,13,0
19,14,0
19,15,0
19,16,0
19,17,0
19,18,0
20,01,11
20,02,0
20,03,0
20,04,15
20,05,0
20,06,33
20,07,753
20,08,0
20,09,0
20,10,10
20,11,15
20,12,0
20,13,0
20,14,0
20,15,0
20,16,257
20,17,0
20,18,0
21,01,0
21,02,0
21,03,0
21,04,0
21,05,0
21,06,0
21,07,0
21,08,0
21,09,0
21,10,0
21,11,0
21,12,0
21,13,0
21,14,0
21,15,0
21,16,0
21,17,0
21,18,0
22,01,0
22,02,0
22,03,38
22,04,0
22,05,0
22,06,0
22,07,0
22,08,0
22,09,0
22,10,0
22,11,0
22,12,0
22,13,0
22,14,0
22,15,0
22,16,0
22,17,0
22,18,0
23,01,0
23,02,0
23,03,0
23,04,83
23,05,11
23,06,764
23,07,115
23,08,24
23,09,0
23,10,19
23,11,12
23,12,0
23,13,10
23,14,0
23,15,0
23,16,192
23,17,33
23,18,77
24,01,917
24,02,0
24,03,26
24,04,0
24,05,408
24,06,0
24,07,324
24,08,0
24,09,0
24,10,0
24,11,0
24,12,0
24,13,0
24,14,0
24,15,0
24,16,31
24,17,0
24,18,0
25,01,0
25,02,0
25,03,19
25,04,0
25,05,0
25,06,106
25,07,0
25,08,0
25,09,0
25,10,0
25,11,0
25,12,0
25,13,0
25,14,0
25,15,0
25,16,0
25,17,0
25,18,0
26,01,10
26,02,0
26,03,0
26,04,64
26,05,17
26,06,263
26,07,86
26,08,0
26,09,0
26,10,12
26,11,83
26,12,0
26,13,0
26,14,0
26,15,0
26,16,291
26,17,0
26,18,0
27,01,2832
27,02,0
27,03,0
27,04,0
27,05,0
27,06,0
27,07,0
27,08,0
27,09,0
27,10,29
27,11,0
27,12,0
27,13,0
27,14,0
27,15,0
27,16,0
27,17,27
27,18,0
28,01,88
28,02,0
28,03,206
28,04,409
28,05,11
28,06,336
28,07,32
28,08,113
28,09,0
28,10,100
28,11,49
28,12,0
28,13,45
28,14,39
28,15,137
28,16,33
28,17,32
28,18,68
29,01,0
29,02,47
29,03,23
29,04,83
29,05,22
29,06,274
29,07,0
29,08,0
29,09,0
29,10,72
29,11,21
29,12,375
29,13,0
29,14,123
29,15,0
29,16,12
29,17,0
29,18,0
30,01,29
30,02,0
30,03,26
30,04,588
30,05,35
30,06,12
30,07,0
30,08,0
30,09,45
30,10,0
30,11,0
30,12,0
30,13,0
30,14,0
30,15,0
30,16,19
30,17,0
30,18,0
31,01,74
31,02,0
31,03,109
31,04,203
31,05,105
31,06,591
31,07,128
31,08,55
31,09,0
31,10,128
31,11,175
31,12,27
31,13,14
31,14,14
31,15,0
31,16,289
31,17,0
31,18,17
32,01,0
32,02,0
32,03,0
32,04,0
32,05,0
32,06,17
32,07,0
32,08,0
32,09,0
32,10,0
32,11,0
32,12,0
32,13,0
32,14,0
32,15,0
32,16,0
32,17,0
32,18,0
33,01,0
33,02,0
33,03,0
33,04,0
33,05,0
33,06,0
33,07,0
33,08,0
33,09,0
33,10,0
33,11,0
33,12,0
33,13,0
33,14,0
33,15,0
33,16,0
33,17,0
33,18,0
34,01,0
34,02,0
34,03,0
34,04,0
34,05,0
34,06,0
34,07,0
34,08,0
34,09,0
34,10,0
34,11,0
34,12,0
34,13,0
34,14,0
34,15,0
34,16,0
34,17,0
34,18,0
35,01,0
35,02,0
35,03,0
35,04,18
35,05,0
35,06,65
35,07,0
35,08,0
35,09,0
35,10,0
35,11,0
35,12,0
35,13,0
35,14,0
35,15,0
35,16,0
35,17,0
35,18,0
36,01,0
36,02,0
36,03,26
36,04,0
36,05,0
36,06,0
36,07,0
36,08,0
36,09,0
36,10,0
36,11,0
36,12,0
36,13,0
36,14,0
36,15,0
36,16,0
36,17,0
36,18,0
37,01,0
37,02,0
37,03,0
37,04,0
37,05,0
37,06,0
37,07,411
37,08,0
37,09,0
37,10,0
37,11,0
37,12,0
37,13,0
37,14,0
37,15,0
37,16,628
37,17,0
37,18,0
38,01,580
38,02,0
38,03,135
38,04,0
38,05,0
38,06,0
38,07,517
38,08,0
38,09,0
38,10,0
38,11,0
38,12,0
38,13,0
38,14,0
38,15,0
38,16,146
38,17,0
